А,1287
Б,1755
В,550
Г,1044
Д,802
Е,105
Ж,423
З,665
И,367
Й,4
К,2413
Л,732
М,1351
Н,495
О,835
П,1859
Р,607
С,1904
Т,1049
У,281
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Ъ,0
Ы,0
Ь,0
Э,234
Ю,148
Я,224
Ё,2
